run_id,campaign_id,system_id,model,replicate,run_index,run_status,failure_stage,failure_category,failure_reason,started_at,finished_at,schema_valid,referential_valid,strict_deterministic,guard_aware_deterministic,requirement_coverage,behavioral_pass_rate,final_state_agreement,trace_agreement,rejected_event_agreement,missing_transitions,extra_transitions,tier
C2_core_ollama_behavioral__parking_gate__llama3.1_8b__r02,C2_core_ollama_behavioral,parking_gate,llama3.1:8b,2,7,failed,schema_validation,schema_error,"forbidden_behaviours.0: Additional properties are not allowed ('event', 'source', 'target' were unexpected); forbidden_behaviours.1: Additional properties are not allowed ('event', 'source', 'target' were unexpected)",2026-06-03T08:08:51+00:00,2026-06-03T08:08:56+00:00,False,,,,,,,,,,,core
C2_core_ollama_behavioral__parking_gate__llama3.1_8b__r03,C2_core_ollama_behavioral,parking_gate,llama3.1:8b,3,8,failed,schema_validation,schema_error,"forbidden_behaviours.0: Additional properties are not allowed ('event', 'source', 'target' were unexpected); forbidden_behaviours.1: Additional properties are not allowed ('event', 'source', 'target' were unexpected)",2026-06-03T08:08:56+00:00,2026-06-03T08:09:00+00:00,False,,,,,,,,,,,core
C2_core_ollama_behavioral__parking_gate__llama3.1_8b__r04,C2_core_ollama_behavioral,parking_gate,llama3.1:8b,4,9,failed,schema_validation,schema_error,"forbidden_behaviours.0: Additional properties are not allowed ('event', 'source', 'target' were unexpected); forbidden_behaviours.1: Additional properties are not allowed ('event', 'source', 'target' were unexpected)",2026-06-03T08:09:00+00:00,2026-06-03T08:09:05+00:00,False,,,,,,,,,,,core
C2_core_ollama_behavioral__parking_gate__llama3.1_8b__r05,C2_core_ollama_behavioral,parking_gate,llama3.1:8b,5,10,failed,schema_validation,schema_error,"forbidden_behaviours.0: Additional properties are not allowed ('event', 'source', 'target' were unexpected); forbidden_behaviours.1: Additional properties are not allowed ('event', 'source', 'target' were unexpected)",2026-06-03T08:09:05+00:00,2026-06-03T08:09:09+00:00,False,,,,,,,,,,,core
C2_core_ollama_behavioral__parking_gate__mistral-nemo_12b__r01,C2_core_ollama_behavioral,parking_gate,mistral-nemo:12b,1,11,passed,none,none,,2026-06-03T08:09:09+00:00,2026-06-03T08:09:15+00:00,True,True,True,True,0.5,0.29411764705882354,0.14285714285714285,0.0,1.0,4,4,core
C2_core_ollama_behavioral__parking_gate__mistral-nemo_12b__r02,C2_core_ollama_behavioral,parking_gate,mistral-nemo:12b,2,12,passed,none,none,,2026-06-03T08:09:15+00:00,2026-06-03T08:09:19+00:00,True,True,True,True,0.5,0.29411764705882354,0.14285714285714285,0.0,1.0,4,4,core
C2_core_ollama_behavioral__parking_gate__mistral-nemo_12b__r03,C2_core_ollama_behavioral,parking_gate,mistral-nemo:12b,3,13,passed,none,none,,2026-06-03T08:09:19+00:00,2026-06-03T08:09:23+00:00,True,True,True,True,0.5,0.29411764705882354,0.14285714285714285,0.0,1.0,4,4,core
C2_core_ollama_behavioral__parking_gate__mistral-nemo_12b__r04,C2_core_ollama_behavioral,parking_gate,mistral-nemo:12b,4,14,passed,none,none,,2026-06-03T08:09:23+00:00,2026-06-03T08:09:27+00:00,True,True,True,True,0.5,0.29411764705882354,0.14285714285714285,0.0,1.0,4,4,core
C2_core_ollama_behavioral__parking_gate__mistral-nemo_12b__r05,C2_core_ollama_behavioral,parking_gate,mistral-nemo:12b,5,15,passed,none,none,,2026-06-03T08:09:27+00:00,2026-06-03T08:09:31+00:00,True,True,True,True,0.5,0.29411764705882354,0.14285714285714285,0.0,1.0,4,4,core
C2_core_ollama_behavioral__parking_gate__gemma2_9b__r01,C2_core_ollama_behavioral,parking_gate,gemma2:9b,1,16,passed,none,none,,2026-06-03T08:09:31+00:00,2026-06-03T08:09:41+00:00,True,True,True,True,0.5,0.29411764705882354,0.14285714285714285,0.0,1.0,3,3,core
