predictor_set,predictor_label,seed,auc_pooled,auc_within_groups,auc_cross_groups,n_within_pairs,n_cross_pairs,n_total_pairs,share_within_pairs,share_cross_pairs
prevalence_only,prevalence-only baseline,38,0.9567970204841714,0.24666666666666667,0.9772030651340996,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,39,0.9609869646182496,0.30333333333333334,0.9798850574712644,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,40,0.9575418994413408,0.26,0.9775862068965517,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,41,0.9600558659217877,0.2966666666666667,0.9791187739463602,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,42,0.9556797020484171,0.22666666666666666,0.9766283524904215,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,43,0.9501862197392924,0.11666666666666667,0.9741379310344828,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,44,0.9625698324022347,0.3333333333333333,0.9806513409961686,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,45,0.9621042830540038,0.3233333333333333,0.9804597701149426,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,46,0.9608938547486034,0.31333333333333335,0.9795019157088123,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,47,0.9604283054003724,0.30333333333333334,0.9793103448275862,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,48,0.9581936685288641,0.25,0.978544061302682,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,49,0.9605214152700187,0.31333333333333335,0.9791187739463602,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,50,0.9616387337057728,0.32,0.9800766283524904,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,51,0.9567039106145252,0.23,0.9775862068965517,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,52,0.9600558659217877,0.2833333333333333,0.9795019157088123,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,53,0.9540037243947859,0.2,0.9756704980842912,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,54,0.9583798882681565,0.25666666666666665,0.978544061302682,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,55,0.962756052141527,0.32,0.9812260536398467,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,56,0.9608938547486034,0.3466666666666667,0.978544061302682,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,57,0.9633147113594042,0.35333333333333333,0.9808429118773946,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,58,0.9575418994413408,0.24,0.9781609195402299,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,59,0.9558659217877096,0.20666666666666667,0.9773946360153257,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,60,0.9601489757914339,0.30666666666666664,0.9789272030651341,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,61,0.958659217877095,0.26666666666666666,0.978544061302682,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,62,0.9571694599627562,0.24666666666666667,0.9775862068965517,150,5220,5370,0.027932960893854747,0.9720670391061452
prevalence_only,prevalence-only baseline,63,0.9645251396648045,0.37666666666666665,0.9814176245210728,150,5220,5370,0.027932960893854747,0.9720670391061452
